text,sentiment
هذا المنتج ممتاز وأنصح به بشدة,ايجابي
الخدمة رائعة والموظفون متعاونون جداً,ايجابي
أحببت هذا الفيلم كثيراً، إنه رائع!,ايجابي
الطعام لذيذ والمكان نظيف وجميل,ايجابي
تجربة مذهلة وسأعود بالتأكيد,ايجابي
المنتج سيء جداً ولا يستحق المال,سلبي
الخدمة فظيعة والموظفون غير مهذبين,سلبي
أسوأ فيلم شاهدته في حياتي,سلبي
الطعام بارد والمكان غير نظيف,سلبي
تجربة مؤسفة ولن أعود مرة أخرى,سلبي
المنتج عادي، لا شيء مميز فيه,محايد
الخدمة مقبولة والموظفون عاديون,محايد
الفيلم متوسط، لا بأس به,محايد
الطعام عادي والمكان مقبول,محايد
تجربة عادية، لا إيجابية ولا سلبية,محايد
المنتج مزعج,سلبي
واجهة المستخدم فعّال قوي,ايجابي
خدمة الشركة سيئة,سلبي
سأشتري التصميم مرة أخرى,ايجابي
الصفقة كان مناسب,محايد
التجربة ضعيف,سلبي
الدعم ممتاز للسعر,ايجابي
الشركة كان سيئ,سلبي
جودة الصفقة متين,ايجابي
الجودة كان راقي,ايجابي
جودة التغليف رديء,سلبي
الاتصال مذهل للغاية,ايجابي
لن أشتري السرعة مرة أخرى,سلبي
الشركة مقبول,محايد
التغليف ممتاز للسعر,ايجابي
التطبيق عادي,محايد
قد أجرب السعر لاحقاً,محايد
قد أجرب التجربة لاحقاً,محايد
السرعة مقبول بشكل عام,محايد
خدمة العملاء كان عادي,محايد
البائع سئ,سلبي
السعر كان مقبول,محايد
البائع كان راقي,ايجابي
زمن التسليم أفضل من المتوقع,ايجابي
تجربة الشركة سيئة,سلبي
المنصة كان معقّد,سلبي
أحببت المنتج,ايجابي
جودة التصميم محترف,ايجابي
جودة واجهة المستخدم مريح,ايجابي
خدمة العملاء كان غير مُرضٍ,سلبي
جودة التصنيع طبيعي,محايد
الشحن ليس جيداً,سلبي
جودة التصنيع مقبول,محايد
الواجهة كان مقبول,محايد
جودة السعر سريع,ايجابي
الصفقة مقبول بشكل عام,محايد
واجهة المستخدم غير جيد,سلبي
جودة الشحن محترف,ايجابي
المنصة ممتاز تماماً,ايجابي
لا أستطيع الحكم على التطبيق الآن,محايد
البطارية غير جيد,سلبي
السعر مقبول بشكل عام,محايد
التصميم كان كارثي,سلبي
المنتج غير جيد,سلبي
الجودة مناسب,محايد
السعر مقبول,محايد
التجربة جيد,ايجابي
أداء خدمة العملاء ممتاز,ايجابي
جودة السرعة خيالي,ايجابي
التحديث مقبول بشكل عام,محايد
الشركة ليس جيداً,سلبي
الواجهة كان سئ,سلبي
التطبيق مقبول بشكل عام,محايد
البائع مناسب,محايد
المنصة كان مقبول,محايد
جودة المنتج قوي,ايجابي
الصفقة كان لا بأس,محايد
خدمة العملاء رديء,سلبي
الجودة مقبول بشكل عام,محايد
المنصة ليس جيداً,سلبي
البطارية ليس سيئاً وليس ممتازاً,محايد
خدمة الشحن سيئة,سلبي
الاتصال ليس جيداً,سلبي
الخدمة مذهل جداً,ايجابي
التطبيق مقبول بشكل عام,محايد
التصميم سيئ للغاية,سلبي
التطبيق ممتاز للسعر,ايجابي
التجربة ممتاز للسعر,ايجابي
جودة التصنيع بطيء إلى حدٍّ كبير,سلبي
المتجر قوي,ايجابي
السرعة غير جيد,سلبي
الشركة يسبب مشاكل,سلبي
التحديث غير جيد,سلبي
الشركة طبيعي,محايد
قد أجرب الشحن لاحقاً,محايد
خدمة العملاء متين,ايجابي
الشحن كان لا بأس,محايد
الشحن عادي,محايد
جودة التغليف ضعيف,سلبي
الشحن رائع قوي,ايجابي
التغليف عادي,محايد
التحديث سيئ كتير,سلبي
الجودة كان متوسط,محايد
تجربة المتجر سيئة,سلبي
جودة التصنيع ليس جيداً,سلبي
الخدمة كان قوي,ايجابي
الخدمة ليس جيداً,سلبي
الخدمة لا بأس,محايد
الخدمة ممتاز للسعر,ايجابي
المنصة سريع إلى حدٍّ كبير,ايجابي
الشحن مقبول بشكل عام,محايد
قد أجرب المنتج لاحقاً,محايد
الاتصال كان عادي,محايد
المتجر مقبول,محايد
الصفقة كان جيد,ايجابي
المنصة كان غير مُرضٍ,سلبي
الشركة ممتاز للسعر,ايجابي
التحديث غير جيد,سلبي
جودة التصنيع كان متين,ايجابي
الخدمة كان متوسط,محايد
السعر غير جيد,سلبي
الخدمة ليس جيداً,سلبي
الشركة ممتاز للسعر,ايجابي
السعر مقبول بشكل عام,محايد
خدمة الواجهة سيئة,سلبي
خدمة العملاء جيد كتير,ايجابي
التغليف غير جيد,سلبي
الشركة بطيء إلى حدٍّ كبير,سلبي
الاتصال كان لا بأس,محايد
التجربة مقبول بشكل عام,محايد
جودة التصنيع أسوأ من المتوقع,سلبي
الواجهة مقبول بشكل عام,محايد
قد أجرب الجودة لاحقاً,محايد
البائع كارثي جداً,سلبي
ندمت على شراء البائع,سلبي
قد أجرب المنتج لاحقاً,محايد
